"id","ALUMNOS","ESPAÑOL","MATEMATICAS","INGLES","CIENCIAS_NATURALES","HISTORIA","EDUCACION_FISICA","ARTES","TECNOLOGIA","NUM_FALTAS","PARTICIPACIONES","RENDIMIENTO"
148,"EDUARDO GARCÍA PÉREZ",82.0,78.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
149,"PATRICIA MARTÍNEZ HERNÁNDEZ",70.0,68.0,69.0,72.0,70.0,75.0,73.0,71.0,11,3,"Regular"
150,"GERARDO HERRERA MORALES",85.0,88.0,87.0,90.0,89.0,92.0,86.0,88.0,5,4,"Bueno"
151,"ROCÍO CRUZ GUTIÉRREZ",60.0,67.0,65.0,63.0,61.0,67.0,64.0,63.0,18,2,"Regular"
152,"FELIPE MARTÍNEZ PÉREZ",90.0,87.0,89.0,91.0,93.0,94.0,89.0,90.0,4,5,"Excelente"
153,"ELSA RAMÍREZ GONZÁLEZ",55.0,60.0,58.0,57.0,60.0,65.0,62.0,60.0,22,3,"Malo"
154,"RICARDO GONZÁLEZ HERNÁNDEZ",78.0,83.0,80.0,85.0,84.0,89.0,82.0,84.0,7,4,"Bueno"
155,"INES LÓPEZ MARTÍNEZ",68.0,75.0,71.0,72.0,70.0,79.0,74.0,73.0,13,3,"Regular"
156,"MANUEL CRUZ RAMÍREZ",95.0,94.0,96.0,93.0,94.0,97.0,96.0,94.0,3,5,"Excelente"
157,"ALEJANDRA MARTÍNEZ GONZÁLEZ",50.0,56.0,52.0,53.0,54.0,61.0,57.0,55.0,26,1,"Malo"
158,"SERGIO RAMÍREZ PÉREZ",82.0,79.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
159,"JESSICA MARTÍNEZ HERNÁNDEZ",70.0,65.0,69.0,73.0,71.0,76.0,74.0,70.0,12,3,"Regular"
160,"VÍCTOR HERRERA GUTIÉRREZ",85.0,88.0,86.0,90.0,87.0,91.0,86.0,88.0,6,4,"Bueno"
161,"MARÍA PÉREZ MARTÍNEZ",60.0,70.0,63.0,65.0,61.0,66.0,64.0,62.0,18,2,"Regular"
162,"ANDRÉS RAMÍREZ HERNÁNDEZ",90.0,87.0,88.0,92.0,91.0,94.0,89.0,90.0,4,5,"Excelente"
163,"ELIZABETH GONZÁLEZ PÉREZ",55.0,60.0,57.0,58.0,59.0,65.0,61.0,60.0,23,3,"Malo"
164,"ALEJANDRO LÓPEZ RAMÍREZ",78.0,82.0,80.0,84.0,83.0,88.0,82.0,85.0,8,4,"Bueno"
165,"LORENA CRUZ MARTÍNEZ",68.0,75.0,70.0,73.0,71.0,80.0,75.0,72.0,13,3,"Regular"
166,"OMAR HERNÁNDEZ GUTIÉRREZ",95.0,92.0,94.0,93.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
167,"VERÓNICA RAMÍREZ MARTÍNEZ",50.0,55.0,54.0,53.0,52.0,60.0,57.0,55.0,27,1,"Malo"
168,"JUAN GONZÁLEZ PÉREZ",82.0,78.0,85.0,80.0,83.0,86.0,84.0,83.0,6,4,"Bueno"
169,"MONICA MARTÍNEZ HERNÁNDEZ",70.0,68.0,69.0,72.0,70.0,75.0,73.0,71.0,11,3,"Regular"
170,"RAFAEL HERRERA CRUZ",85.0,88.0,87.0,90.0,89.0,92.0,86.0,88.0,5,4,"Bueno"
171,"CAMILA PÉREZ MARTÍNEZ",60.0,67.0,65.0,63.0,61.0,67.0,64.0,63.0,18,2,"Regular"
172,"GUADALUPE RAMÍREZ HERNÁNDEZ",90.0,87.0,89.0,91.0,93.0,94.0,89.0,90.0,4,5,"Excelente"
173,"DAVID GONZÁLEZ MARTÍNEZ",55.0,60.0,58.0,57.0,60.0,65.0,62.0,60.0,22,3,"Malo"
174,"MARTA LÓPEZ PÉREZ",78.0,83.0,80.0,85.0,84.0,89.0,82.0,84.0,7,4,"Bueno"
175,"JORGE CRUZ RAMÍREZ",68.0,75.0,71.0,72.0,70.0,79.0,74.0,73.0,13,3,"Regular"
176,"FELIPE HERNÁNDEZ MARTÍNEZ",95.0,94.0,96.0,93.0,94.0,97.0,96.0,94.0,3,5,"Excelente"
177,"MONSERRAT RAMÍREZ PÉREZ",50.0,56.0,52.0,53.0,54.0,61.0,57.0,55.0,26,1,"Malo"
178,"FERNANDO GÓMEZ LÓPEZ",85.0,87.0,82.0,90.0,88.0,91.0,84.0,86.0,5,4,"Bueno"
179,"LUISA MARTÍNEZ PÉREZ",63.0,72.0,70.0,68.0,65.0,71.0,66.0,67.0,15,3,"Regular"
180,"ENRIQUE RIVERA MARTÍNEZ",91.0,89.0,90.0,93.0,92.0,95.0,88.0,89.0,4,5,"Excelente"
181,"PATRICIA LÓPEZ GARCÍA",54.0,59.0,60.0,58.0,57.0,63.0,62.0,60.0,20,2,"Malo"
182,"CARLOS HERNÁNDEZ RAMÍREZ",79.0,82.0,81.0,84.0,85.0,87.0,82.0,83.0,8,4,"Bueno"
183,"SANDRA VÁZQUEZ GUTIÉRREZ",69.0,74.0,72.0,71.0,70.0,78.0,74.0,73.0,12,3,"Regular"
184,"DANIEL GUTIÉRREZ FLORES",96.0,94.0,97.0,92.0,95.0,96.0,95.0,93.0,3,5,"Excelente"
185,"MARÍA DEL CARMEN MORALES RIVERA",51.0,54.0,53.0,56.0,55.0,60.0,58.0,57.0,25,1,"Malo"
186,"ALFONSO PÉREZ HERRERA",83.0,81.0,85.0,80.0,83.0,84.0,81.0,82.0,6,4,"Bueno"
187,"ROSARIO RAMÍREZ TORRES",68.0,67.0,69.0,70.0,71.0,73.0,72.0,71.0,11,3,"Regular"
188,"JORGE MARTÍNEZ RAMÍREZ",88.0,86.0,87.0,90.0,89.0,92.0,85.0,88.0,5,4,"Bueno"
189,"ESTELA DÍAZ MARTÍNEZ",62.0,66.0,64.0,63.0,61.0,65.0,63.0,64.0,18,2,"Regular"
190,"ROBERTO GÓMEZ PÉREZ",90.0,88.0,89.0,91.0,93.0,94.0,88.0,90.0,4,5,"Excelente"
191,"ALEJANDRA HERNÁNDEZ GUTIÉRREZ",56.0,58.0,59.0,57.0,60.0,62.0,60.0,59.0,21,3,"Malo"
192,"JAIME PÉREZ LÓPEZ",77.0,81.0,79.0,83.0,82.0,85.0,80.0,81.0,7,4,"Bueno"
193,"VALERIA RAMÍREZ MARTÍNEZ",66.0,72.0,70.0,68.0,69.0,73.0,71.0,70.0,13,3,"Regular"
194,"JAVIER HERRERA FLORES",95.0,93.0,96.0,94.0,97.0,98.0,95.0,94.0,3,5,"Excelente"
195,"REBECA GUTIÉRREZ HERNÁNDEZ",52.0,56.0,55.0,54.0,53.0,60.0,57.0,56.0,26,1,"Malo"
196,"PABLO LÓPEZ MARTÍNEZ",82.0,80.0,84.0,81.0,82.0,86.0,83.0,82.0,7,4,"Bueno"
197,"MONICA MARTÍNEZ PÉREZ",67.0,69.0,68.0,72.0,70.0,75.0,72.0,71.0,12,3,"Regular"
198,"ANDRÉS GÓMEZ HERNÁNDEZ",85.0,88.0,86.0,89.0,87.0,91.0,86.0,87.0,6,4,"Bueno"
199,"LAURA HERNÁNDEZ RAMÍREZ",60.0,65.0,63.0,62.0,61.0,67.0,64.0,63.0,19,2,"Regular"
200,"SERGIO MARTÍNEZ GARCÍA",91.0,89.0,88.0,92.0,94.0,95.0,89.0,90.0,4,5,"Excelente"
201,"ISABEL PÉREZ MARTÍNEZ",55.0,60.0,57.0,58.0,59.0,64.0,62.0,60.0,22,3,"Malo"
202,"FERNANDA LÓPEZ GUTIÉRREZ",78.0,80.0,79.0,82.0,81.0,85.0,80.0,81.0,8,4,"Bueno"
203,"RAMIRO RAMÍREZ FLORES",67.0,73.0,70.0,69.0,70.0,74.0,72.0,71.0,13,3,"Regular"
204,"MARCOS HERNÁNDEZ PÉREZ",95.0,92.0,94.0,93.0,95.0,97.0,96.0,94.0,3,5,"Excelente"
205,"ANA GUTIÉRREZ MARTÍNEZ",51.0,55.0,54.0,52.0,53.0,60.0,58.0,55.0,26,1,"Malo"
206,"ALFREDO MARTÍNEZ GARCÍA",82.0,79.0,83.0,80.0,83.0,85.0,84.0,81.0,7,4,"Bueno"
